CLE,-155,IND,140
DET,130,BAL,-155
BUF,-440,NE,340
WAS,-148,NYG,124
ATL,120,TB,-142
LV,-135,CHI,114
ARI,310,SEA,-395
PIT,136,LAR,-162
LAC,200,KC,-245
GB,-115,DEN,-105
MIA,114,PHI,-135
SF,-305,MIN,245
